ts_code,trade_date,adj_factor
001391.SZ,20250922,1.0087
001395.SZ,20250922,1.0129
001400.SZ,20250922,1.0
001696.SZ,20250922,28.4563
001872.SZ,20250922,4.9884
001896.SZ,20250922,1.387
001914.SZ,20250922,8.8585
001965.SZ,20250922,1.332
001979.SZ,20250922,1.3788
002001.SZ,20250922,46.399
002003.SZ,20250922,25.9405
002004.SZ,20250922,24.5751
002005.SZ,20250922,10.037
002006.SZ,20250922,7.9681
002007.SZ,20250922,43.9725
002008.SZ,20250922,13.5223
002009.SZ,20250922,5.4052
002010.SZ,20250922,9.3059
002011.SZ,20250922,6.2
002012.SZ,20250922,5.291
002014.SZ,20250922,13.8435
002015.SZ,20250922,6.1705
002016.SZ,20250922,7.02
002017.SZ,20250922,8.5089
002019.SZ,20250922,14.9746
002020.SZ,20250922,12.9503
002021.SZ,20250922,11.601
002022.SZ,20250922,13.093
002023.SZ,20250922,10.292
002024.SZ,20250922,88.051
002025.SZ,20250922,6.694
002026.SZ,20250922,3.8696
002027.SZ,20250922,16.2053
002028.SZ,20250922,20.3977
002029.SZ,20250922,10.4196
002030.SZ,20250922,29.339
002031.SZ,20250922,14.861
002032.SZ,20250922,10.6307
002033.SZ,20250922,6.2238
002034.SZ,20250922,3.8682
002035.SZ,20250922,18.6039
002036.SZ,20250922,7.074
002037.SZ,20250922,4.177
002038.SZ,20250922,22.7579
002039.SZ,20250922,3.7644
002040.SZ,20250922,3.1645
002041.SZ,20250922,13.7097
002042.SZ,20250922,7.7109
002043.SZ,20250922,9.259
002044.SZ,20250922,9.7812
002045.SZ,20250922,5.777
002046.SZ,20250922,5.2391
002047.SZ,20250922,3.257
002048.SZ,20250922,8.4067
002049.SZ,20250922,6.2855
002050.SZ,20250922,15.3956
002051.SZ,20250922,5.6557
002052.SZ,20250922,6.818
002053.SZ,20250922,2.2752
002054.SZ,20250922,3.5471
002055.SZ,20250922,5.984
002056.SZ,20250922,9.7695
002057.SZ,20250922,6.1468
002058.SZ,20250922,2.386
002059.SZ,20250922,2.129
002060.SZ,20250922,4.4203
002061.SZ,20250922,3.5842
002062.SZ,20250922,10.6859
002063.SZ,20250922,18.0825
002064.SZ,20250922,12.4477
002065.SZ,20250922,32.0918
002066.SZ,20250922,3.2611
002067.SZ,20250922,2.7753
002068.SZ,20250922,5.953
002069.SZ,20250922,6.663
002072.SZ,20250922,1.107
002073.SZ,20250922,9.5998
002074.SZ,20250922,4.5556
002075.SZ,20250922,3.0106
002076.SZ,20250922,6.72
002077.SZ,20250922,1.47
002078.SZ,20250922,9.2803
002079.SZ,20250922,5.0038
002080.SZ,20250922,5.5049
002081.SZ,20250922,32.5618
002082.SZ,20250922,3.0291
002083.SZ,20250922,2.9
002084.SZ,20250922,3.356
002085.SZ,20250922,8.1682
002086.SZ,20250922,4.127
002088.SZ,20250922,6.9803
002090.SZ,20250922,5.8876
002091.SZ,20250922,8.2937
002092.SZ,20250922,3.496
002093.SZ,20250922,12.4667
002094.SZ,20250922,5.304
002095.SZ,20250922,4.4726
002096.SZ,20250922,5.1374
002097.SZ,20250922,4.9524
002098.SZ,20250922,2.4052
002099.SZ,20250922,7.264
002100.SZ,20250922,12.8372
002101.SZ,20250922,4.3174
002102.SZ,20250922,9.212
002103.SZ,20250922,2.374
002104.SZ,20250922,6.9807
002105.SZ,20250922,1.728
002106.SZ,20250922,3.8603
002107.SZ,20250922,8.5014
002108.SZ,20250922,18.6747
002109.SZ,20250922,3.924
002110.SZ,20250922,2.479
002111.SZ,20250922,5.3355
002112.SZ,20250922,3.3903
002114.SZ,20250922,1.82
002115.SZ,20250922,6.24
002116.SZ,20250922,4.8934
002117.SZ,20250922,6.6972
002119.SZ,20250922,3.8092
002120.SZ,20250922,6.6886
002121.SZ,20250922,15.516
002122.SZ,20250922,8.472
002123.SZ,20250922,7.364
002124.SZ,20250922,16.486
002125.SZ,20250922,4.3318
002126.SZ,20250922,5.6847
002127.SZ,20250922,10.7407
002128.SZ,20250922,3.4023
002129.SZ,20250922,5.4952
002130.SZ,20250922,21.1073
002131.SZ,20250922,45.1446
002132.SZ,20250922,6.1699
002133.SZ,20250922,3.2608
002134.SZ,20250922,1.251
002135.SZ,20250922,3.3471
002136.SZ,20250922,2.175
002137.SZ,20250922,3.301
002138.SZ,20250922,7.0181
002139.SZ,20250922,17.191
002140.SZ,20250922,9.2618
002141.SZ,20250922,8.059
002142.SZ,20250922,2.44
002144.SZ,20250922,1.1813
002145.SZ,20250922,4.5634
002146.SZ,20250922,12.035
002148.SZ,20250922,10.612
002149.SZ,20250922,3.3535
002150.SZ,20250922,6.0753
002151.SZ,20250922,5.858
002152.SZ,20250922,17.7702
002153.SZ,20250922,44.4222
002154.SZ,20250922,15.3018
002155.SZ,20250922,3.6056
002156.SZ,20250922,2.8168
002157.SZ,20250922,16.264
002158.SZ,20250922,4.4571
002159.SZ,20250922,1.5733
002160.SZ,20250922,2.11
002161.SZ,20250922,10.7622
002162.SZ,20250922,2.206
002163.SZ,20250922,4.664
002164.SZ,20250922,3.154
002165.SZ,20250922,8.0452
002166.SZ,20250922,7.5927
002167.SZ,20250922,7.859
002168.SZ,20250922,14.975
002169.SZ,20250922,8.1798
002170.SZ,20250922,8.5492
002171.SZ,20250922,5.5824
002172.SZ,20250922,3.012
002173.SZ,20250922,3.043
002174.SZ,20250922,3.1324
002175.SZ,20250922,6.466
002176.SZ,20250922,12.957
002177.SZ,20250922,8.9059
002178.SZ,20250922,6.538
002179.SZ,20250922,15.0223
002180.SZ,20250922,4.846
002181.SZ,20250922,2.3293
002182.SZ,20250922,4.7565
002183.SZ,20250922,15.2021
002184.SZ,20250922,3.3097
002185.SZ,20250922,10.5794
002186.SZ,20250922,2.377
002187.SZ,20250922,2.525
002188.SZ,20250922,1.978
002189.SZ,20250922,1.058
002190.SZ,20250922,2.661
002191.SZ,20250922,7.6904
002192.SZ,20250922,3.1349
002193.SZ,20250922,2.074
002194.SZ,20250922,3.9025
002195.SZ,20250922,30.336
002196.SZ,20250922,2.797
002197.SZ,20250922,4.09
002198.SZ,20250922,5.118
002199.SZ,20250922,2.632
002200.SZ,20250922,1.815
002201.SZ,20250922,7.3888
002202.SZ,20250922,8.3997
002203.SZ,20250922,3.9526
002204.SZ,20250922,4.9519
002205.SZ,20250922,2.103
002206.SZ,20250922,12.3766
002207.SZ,20250922,2.053
002208.SZ,20250922,5.6269
002209.SZ,20250922,1.5698
002210.SZ,20250922,10.352
002211.SZ,20250922,1.524
002212.SZ,20250922,3.2887
002213.SZ,20250922,2.1029
002214.SZ,20250922,5.13
002215.SZ,20250922,8.917
002216.SZ,20250922,10.4728
002217.SZ,20250922,5.723
002218.SZ,20250922,5.7162
002219.SZ,20250922,22.166
002221.SZ,20250922,4.397
002222.SZ,20250922,3.0085
002223.SZ,20250922,9.7582
002224.SZ,20250922,7.1956
002225.SZ,20250922,1.996
002226.SZ,20250922,13.402
002227.SZ,20250922,2.077
002228.SZ,20250922,11.7592
002229.SZ,20250922,5.186
002230.SZ,20250922,13.632
002231.SZ,20250922,3.094
002232.SZ,20250922,3.1647
002233.SZ,20250922,3.5424
002234.SZ,20250922,2.18
002235.SZ,20250922,4.574
002236.SZ,20250922,47.9928
002237.SZ,20250922,8.5299
002238.SZ,20250922,3.3829
002239.SZ,20250922,9.1197
002240.SZ,20250922,1.674
002241.SZ,20250922,23.8115
002242.SZ,20250922,5.599
002243.SZ,20250922,1.8049
002244.SZ,20250922,6.6973
002245.SZ,20250922,13.9961
002246.SZ,20250922,1.6451
002247.SZ,20250922,6.487
002248.SZ,20250922,2.028
002249.SZ,20250922,13.8097
002250.SZ,20250922,6.1444
002251.SZ,20250922,4.961
002252.SZ,20250922,24.7604
002253.SZ,20250922,3.858
002254.SZ,20250922,6.433
002255.SZ,20250922,4.157
002256.SZ,20250922,15.226
002258.SZ,20250922,5.5099
002259.SZ,20250922,2.585
002261.SZ,20250922,10.138
002262.SZ,20250922,9.008
