rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
645,000796,凯撒旅业,租赁和商务服务业-商务服务业,75.89820359281437,0.18790269288751438,0.4546920674958208,-0.200832200411938,0.5643802402554408,-0.37761421372611736,0.026768642447418722,0.011299435028248705,-0.08361774744027306,0.005523827356989086,0.9223080238023637,3.056,3.2205,0.026179920557164196,0.45,-0.09090909090909094,0.023831119610628348,0.13427717487062685,229116067.182,5.37,2026-03-27
646,002053,云南能投,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,75.86077844311377,0.18761604987383151,0.31601566327643826,0.16563035806873821,0.6826693526654073,-0.7782111699133988,0.08837579617834379,0.08148734177215178,0.14585079631181896,0.08384539147670966,1.6900012871165662,4.214,2.6145000000000005,0.026033202488538923,0.55,-0.0561106840891622,0.026300319525559543,0.03556774923785766,309716520.9815,13.67,2026-03-27
647,002009,天奇股份,制造业-专用设备制造业,75.82335329341318,0.18744169978273162,0.09623180909282936,-0.12755682444881244,0.087671468320783,1.0886925906243092,0.00291423813488767,-0.07167630057803465,-0.23329089751750487,-0.07589619655906554,0.6499062184520831,7.208,9.903500000000001,0.023681100896920937,0.35,-0.18261479144759907,0.0312687402395254,0.23843301598339184,940761357.4804999,24.09,2026-03-27
648,001316,润贝航科,批发和零售业-批发业,75.78592814371258,0.1873079021472253,0.8721880773665869,0.11169755631494102,-0.48535503689656406,-0.6161380699922125,0.0635696821515892,-0.0054042818540843696,-0.062316284538506794,-0.010116055359026932,1.1165527732978264,3.226,2.749,0.046533986690210305,0.4,-0.19615384615384623,0.02957836864741902,0.18193143014296675,149753554.344,47.85,2026-03-27
649,301299,卓创资讯,信息传输、软件和信息技术服务业-互联网和相关服务,75.74850299401199,0.186465206068681,0.012487233677219156,0.8841732925759324,-0.12801925070030507,-0.09312773604085806,-0.0028805336567616635,-0.01600837821663681,-0.0004559270516717451,-0.00460090201894825,0.9535364454594388,6.0440000000000005,6.2445,0.04855406110569204,0.5,-0.10855499640546362,0.03796662388493591,-0.0053121445990107485,185796003.6175,65.77,2026-03-27
650,600345,长江通信,制造业-计算机、通信和其他电子设备制造业,75.71107784431138,0.18642633398794312,0.8085634278183089,0.2132846018997518,-1.1768336867060618,0.3003103315126261,0.06504065040650397,-0.0671730358414433,-0.11843876177658141,-0.03632774664982885,0.8066579894794204,7.114,8.027,0.048793193253139876,0.35,-0.2581880051042109,0.04802927067770417,0.23731521299062242,709309844.15,39.3,2026-03-27
651,601678,滨化股份,制造业-化学原料和化学制品制造业,75.67365269461078,0.18625195239730916,0.558135707870697,-0.22821061778669174,-0.03056543404609225,0.17442273669947825,0.07010309278350535,-0.07815275310834802,-0.07486631016042777,-0.02121640735502106,0.6617200085723468,4.008,5.513000000000001,0.028766361393824855,0.4,-0.18803418803418803,0.03610949236015562,0.2055754635499939,611430695.7,5.19,2026-03-27
652,002589,瑞康医药,批发和零售业-批发业,75.63622754491018,0.18620582508211272,0.4535680571757346,-0.055155057869325314,0.6164257725320494,-0.6981185855150646,0.030000000000000027,-0.022151898734177333,-0.06927710843373491,-0.004189494038027819,1.0591386458849277,2.7079999999999997,2.4539999999999997,0.026900295594536234,0.4,-0.1149068322981367,0.01700194217599909,0.1263855421686747,105756762.9276,3.09,2026-03-27
653,603225,新凤鸣,制造业-化学纤维制造业,75.59880239520959,0.1849421377673378,0.9500645439872519,-0.2000918503006603,-0.6486013087788172,-0.10226970331089646,0.09610389610389602,-0.05698324022346368,-0.2048987282147905,-0.05357293039163491,0.7391899830941868,1.784,2.2315,0.0314520419770012,0.45,-0.3124999999999999,0.04669404378086618,0.37071529506762657,663172564.85,16.88,2026-03-27
654,300172,中电环保,电力、热力、燃气及水生产和供应业-水的生产和供应业,75.561377245509,0.1835160303694537,0.10544946137938313,-0.26219247997022954,0.3165362122422846,0.957180822412006,-0.001686340640809414,-0.03583061889250816,-0.048231511254019255,-0.029985253154186542,0.7257683188429518,5.886,7.739999999999999,0.025606500328943693,0.45,-0.11111111111111116,0.014679860906474653,0.044937453571409214,249570266.85149997,5.92,2026-03-27
655,600111,北方稀土,制造业-有色金属冶炼和压延加工业,75.52395209580838,0.18212769147369023,0.20599679864251758,-0.2973905303600679,0.15211692347028108,0.9576881327509598,0.027608695652173942,-0.06985438803620614,-0.24246794871794863,-0.07138016049976914,0.7720082537757051,2.476,2.839,0.027041095677916363,0.3,-0.2675736961451247,0.024865229016943963,0.2904292084726867,3506048214.4299955,47.27,2026-03-27
656,600499,科达制造,制造业-专用设备制造业,75.48652694610777,0.18206017308902672,0.7332479673098986,-0.13308562421957762,-0.04071343751153423,-0.46549946851820984,0.08108108108108114,-0.04977375565610853,-0.06614785992217886,0.004574401291595809,1.0291501338985605,1.616,1.514,0.043004448239204185,0.45,-0.1609837898267189,0.030853625781069604,0.21726785150909667,485921261.95,16.8,2026-03-27
657,002224,三 力 士,制造业-橡胶和塑料制品业,75.44910179640718,0.18156637918189542,-0.05201957655690906,0.35317600943026756,0.7666546391193391,-0.26167146917850437,0.00843881856540074,-0.004166666666666541,-0.004166666666666541,0.006845708267509076,1.1358339259337442,4.828,4.174,0.025637067884589432,0.4,-0.07847082494969815,0.02174961153120058,0.020938818565400696,161428183.5835,4.78,2026-03-27
658,000995,皇台酒业,制造业-酒、饮料和精制茶制造业,75.41167664670658,0.18108930646420385,-0.3522729807243994,0.87550311809554,-1.1434576824841838,2.2120950381794358,-0.021117166212534122,-0.07230471271788252,-0.09736180904522618,-0.05126596903575087,0.7336058167242087,9.292,11.671,0.03524193073033217,0.6,-0.1684782608695652,0.029702539916010462,0.05677228102364684,319892610.77549994,14.37,2026-03-27
659,002846,英联股份,制造业-金属制品业,75.37425149700599,0.18040555135935948,0.4777104387848019,-0.3595869222323874,0.8975396498759355,-0.6685988238110103,0.03283369022127047,-0.02163624070317771,-0.07893061744112029,-0.009887440555612637,0.8148023552808105,2.504,2.9035,0.02711244841112546,0.5,-0.1276872964169381,0.02423763943793402,0.14104502058409674,110098865.2605,14.47,2026-03-27
660,301039,中集车辆,制造业-汽车制造业,75.33682634730539,0.1794155340310605,0.7535962178438577,-0.2936773799233472,0.2824066809955959,-0.7005662954984332,0.06057007125890723,-0.04081632653061229,-0.10967098703888334,-0.013750069026450817,1.0167332981498238,1.274,1.1994999999999998,0.027618203938733064,0.45,-0.18625498007968122,0.023042515564874282,0.2210885159249092,158013996.304,8.93,2026-03-27
