secucode,code,name,industry,market,listing_date
300235.SZ,300235,方直科技,软件服务,创业板,2011-06-29
300084.SZ,300084,海默科技,专用机械,创业板,2010-05-20
002444.SZ,002444,巨星科技,轻工机械,主板,2010-07-13
002492.SZ,002492,恒基达鑫,仓储物流,主板,2010-11-02
002466.SZ,002466,天齐锂业,小金属,主板,2010-08-31
002445.SZ,002445,中南文化,钢加工,主板,2010-07-13
300238.SZ,300238,冠昊生物,医疗保健,创业板,2011-07-06
300086.SZ,300086,康芝药业,化学制药,创业板,2010-05-26
300101.SZ,300101,振芯科技,通信设备,创业板,2010-08-06
601118.SH,601118,海南橡胶,橡胶,主板,2011-01-07
002449.SZ,002449,国星光电,半导体,主板,2010-07-16
300091.SZ,300091,*ST金灵,机械基件,创业板,2010-06-25
300081.SZ,300081,ST恒信,文教休闲,创业板,2010-05-20
002458.SZ,002458,益生股份,农业综合,主板,2010-08-10
002451.SZ,002451,摩恩电气,电气设备,主板,2010-07-20
300272.SZ,300272,开能健康,家用电器,创业板,2011-11-02
300088.SZ,300088,长信科技,元器件,创业板,2010-05-26
300096.SZ,300096,ST易联众,软件服务,创业板,2010-07-28
002457.SZ,002457,青龙管业,塑料,主板,2010-08-03
002529.SZ,002529,*ST海源,专用机械,主板,2010-12-24
601000.SH,601000,唐山港,港口,主板,2010-07-05
002452.SZ,002452,长高电新,电气设备,主板,2010-07-20
002454.SZ,002454,松芝股份,汽车配件,主板,2010-07-20
002453.SZ,002453,华软科技,化工原料,主板,2010-07-20
002460.SZ,002460,赣锋锂业,小金属,主板,2010-08-10
300085.SZ,300085,银之杰,软件服务,创业板,2010-05-26
601717.SH,601717,中创智领,专用机械,主板,2010-08-03
300179.SZ,300179,四方达,矿物制品,创业板,2011-02-15
300097.SZ,300097,智云股份,专用机械,创业板,2010-07-28
002463.SZ,002463,沪电股份,元器件,主板,2010-08-18
002462.SZ,002462,嘉事堂,医药商业,主板,2010-08-18
300099.SZ,300099,尤洛卡,电器仪表,创业板,2010-08-06
300093.SZ,300093,*ST金刚,电气设备,创业板,2010-07-08
601718.SH,601718,ST际华,服饰,主板,2010-08-16
300253.SZ,300253,卫宁健康,软件服务,创业板,2011-08-18
300094.SZ,300094,国联水产,渔业,创业板,2010-07-08
300124.SZ,300124,汇川技术,电器仪表,创业板,2010-09-28
300152.SZ,300152,*ST动力,环境保护,创业板,2010-12-29
300321.SZ,300321,同大股份,塑料,创业板,2012-05-23
300095.SZ,300095,华伍股份,专用机械,创业板,2010-07-28
300245.SZ,300245,ST天玑,软件服务,创业板,2011-07-19
300092.SZ,300092,科新机电,专用机械,创业板,2010-07-08
300100.SZ,300100,双林股份,汽车配件,创业板,2010-08-06
002496.SZ,002496,*ST辉丰,农药化肥,主板,2010-11-09
300103.SZ,300103,达刚控股,专用机械,创业板,2010-08-12
300102.SZ,300102,乾照光电,半导体,创业板,2010-08-12
002465.SZ,002465,海格通信,通信设备,主板,2010-08-31
601018.SH,601018,宁波港,港口,主板,2010-09-28
002484.SZ,002484,江海股份,元器件,主板,2010-09-29
300126.SZ,300126,锐奇股份,轻工机械,创业板,2010-10-13
601288.SH,601288,XD农业银,银行,主板,2010-07-15
002468.SZ,002468,申通快递,仓储物流,主板,2010-09-08
300110.SZ,300110,华仁药业,化学制药,创业板,2010-08-25
300173.SZ,300173,ST福能,轻工机械,创业板,2011-02-01
002476.SZ,002476,宝莫股份,化工原料,主板,2010-09-15
002470.SZ,002470,金正大,农药化肥,主板,2010-09-08
300107.SZ,300107,建新股份,化工原料,创业板,2010-08-20
300305.SZ,300305,裕兴股份,塑料,创业板,2012-03-29
601177.SH,601177,杭齿前进,机械基件,主板,2010-10-11
601377.SH,601377,兴业证券,证券,主板,2010-10-13
300106.SZ,300106,西部牧业,乳制品,创业板,2010-08-20
300113.SZ,300113,顺网科技,互联网,创业板,2010-08-27
302132.SZ,302132,中航成飞,航空,创业板,2010-08-27
300112.SZ,300112,万讯自控,电器仪表,创业板,2010-08-27
300133.SZ,300133,华策影视,影视音像,创业板,2010-10-26
300129.SZ,300129,泰胜风能,电气设备,创业板,2010-10-19
300118.SZ,300118,东方日升,电气设备,创业板,2010-09-02
300109.SZ,300109,新开源,化工原料,创业板,2010-08-25
300111.SZ,300111,向日葵,化学制药,创业板,2010-08-27
