rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
21,002840,华统股份,制造业-农副食品加工业,98.6648865153538,1.822220312265868,2.5168076291849717,2.3899427379294274,1.0742104675627535,0.02112988397981108,0.05415860735009681,0.09327983951855567,0.10885045778229907,0.07910107910107911,1.6983404066048542,5.6659999999999995,2.883,0.028165804527433003,0.55,-0.04695304695304703,235693902.548,10.9,2026-03-24
22,603817,海峡环保,电力、热力、燃气及水生产和供应业-水的生产和供应业,98.5981308411215,1.802887757713248,2.049518386421969,2.3328085240285796,0.8590595642719782,1.5204423952194663,0.028735632183908066,0.15941289865051597,0.274928774928775,0.14464765315257733,1.6983404066048542,13.203999999999999,7.064,0.027628205069167293,0.65,-0.047409040793825796,332652275.5,8.98,2026-03-24
23,301070,开勒股份,制造业-通用设备制造业,98.53137516688919,1.7858939981338358,3.0289781492052157,1.362407443304544,1.465586766152248,-0.3961098373655761,0.05296514259846097,0.08895131086142327,0.14112837285363855,0.08897680189143031,1.2888813317420207,4.792,3.825,0.02534013655847086,0.6,-0.09159159159159147,145892214.1,69.24,2026-03-24
24,002445,中南文化,制造业-金属制品业,98.46461949265688,1.7803012373614617,2.3332116997997927,3.0054333918371716,-0.06269206868487198,0.7213108214615085,0.04422604422604426,0.14555256064690036,0.3250266273401333,0.15522902120386278,1.6983404066048542,14.006399999999989,9.315999999999999,0.07804629063735254,0.65,-0.17594654788418707,855010286.8564999,4.19,2026-03-24
25,300502,新易盛,制造业-计算机、通信和其他电子设备制造业,98.39786381842457,1.752175385281364,2.749602104346568,0.9414428757920107,0.8991589440355718,1.580946905250796,0.10487352053840793,0.15941289865051597,0.24630890052356014,0.15522902120386278,1.1553447202382283,5.281999999999999,5.167999999999999,0.0500714156276482,0.65,-0.06747862140450889,3862734371.5438232,472.59,2026-03-24
26,600135,乐凯胶片,制造业-化学原料和化学制品制造业,98.33110814419226,1.7272389617636792,2.3749465783356216,2.2254703186079947,1.130554148980703,-0.034787193458057114,0.05397727272727271,0.01181818181818195,0.1497933884297522,0.09122996225305147,1.2533635571652895,7.014,5.768000000000001,0.03097029033050855,0.55,-0.08176100628930816,338081551.5,11.08,2026-03-24
27,301306,西测测试,科学研究和技术服务业-专业技术服务业,98.26435246995995,1.708909657571719,2.096358876679244,2.312697045990931,0.20887105128005584,1.6694509009751823,0.036582577547442874,0.15941289865051597,0.30728565936178387,0.15522902120386278,1.6983404066048542,14.006399999999989,12.397,0.07071886449474404,0.6,-0.08993595608417204,860350441.668,135.63,2026-03-24
28,600758,辽宁能源,采矿业-煤炭开采和洗选业,98.19759679572763,1.6820164585758803,2.566010719632376,2.4001074295141067,0.1284419813114716,0.19931278054739252,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.6983404066048542,9.572,5.1315,0.04604823200014678,0.6,-0.03818615751789978,304745670.8,5.72,2026-03-24
29,003036,泰坦股份,制造业-专用设备制造业,98.13084112149532,1.6747824295141178,2.804883324835743,1.7423059982925917,0.7673274826752504,-0.24141931018918228,0.12172950243037989,0.15941289865051597,0.25765864332603927,0.15522902120386278,1.4754232390972692,6.228,4.6285,0.03775314368278588,0.65,-0.1343915343915344,194592523.04150003,22.84,2026-03-24
30,300185,通裕重工,制造业-金属制品业,98.06408544726301,1.6686680448370494,2.29288992032059,1.9001652668938624,0.2759497741476164,1.4752053677054955,0.03535353535353525,0.15941289865051597,0.3250266273401333,0.14301644828547522,1.2411984158815932,13.162,11.034999999999998,0.07373172119242792,0.6,-0.09263657957244653,1553030602.5865,4.1,2026-03-24
