strategy,signal_date,rank,code,ts_code,name,industry,entry_close,exit_date,exit_price,exit_reason,hold_days,ret_pct,win
rps90,20260303,5,601869,601869.SH,长飞光纤,通信设备,236.0,20260306,213.2,stop_loss,3,-9.66,0
rps90,20260310,1,002378,002378.SZ,章源钨业,小金属,44.89,20260312,41.02,stop_loss,2,-8.62,0
rps90,20260310,2,002506,002506.SZ,协鑫集成,电气设备,6.07,20260313,5.42,stop_loss,3,-10.71,0
rps90,20260310,3,300164,300164.SZ,通源石油,石油开采,18.9,20260318,18.81,retracement,6,-0.48,0
rps90,20260310,4,000533,000533.SZ,顺钠股份,电气设备,17.66,20260313,16.96,retracement,3,-3.96,0
rps90,20260310,5,002498,002498.SZ,汉缆股份,电气设备,9.65,20260312,10.38,limit_up,2,7.56,1
rps90,20260317,1,000533,000533.SZ,顺钠股份,电气设备,20.53,20260319,18.58,stop_loss,2,-9.5,0
rps90,20260317,2,600722,600722.SH,金牛化工,化工原料,19.3,20260318,17.37,stop_loss,1,-10.0,0
rps90,20260317,3,603778,603778.SH,国晟科技,电气设备,24.79,20260318,22.71,stop_loss,1,-8.39,0
rps90,20260317,4,300164,300164.SZ,通源石油,石油开采,20.48,20260318,18.81,stop_loss,1,-8.15,0
rps90,20260317,5,002498,002498.SZ,汉缆股份,电气设备,9.61,20260320,8.34,stop_loss,3,-13.22,0
rps90,20260324,1,001896,001896.SZ,豫能控股,火力发电,16.9,20260326,15.04,stop_loss,2,-11.01,0
rps90,20260324,2,603778,603778.SH,国晟科技,电气设备,24.71,20260326,22.09,stop_loss,2,-10.6,0
rps90,20260324,3,300164,300164.SZ,通源石油,石油开采,18.91,20260325,17.59,retracement,1,-6.98,0
rps90,20260324,4,600821,600821.SH,金开新能,新型电力,11.07,20260326,10.44,retracement,2,-5.69,0
rps90,20260324,5,601872,601872.SH,招商轮船,水运,18.1,20260331,16.36,stop_loss,5,-9.61,0
rps90,20260331,1,603618,603618.SH,杭电股份,电气设备,28.49,20260408,25.98,stop_loss,5,-8.81,0
rps90,20260331,2,603601,603601.SH,再升科技,玻璃,15.49,20260402,14.1,stop_loss,2,-8.97,0
rps90,20260331,3,601869,601869.SH,长飞光纤,通信设备,309.49,20260409,398.31,limit_up,6,28.7,1
rps90,20260331,4,600396,600396.SH,华电辽能,火力发电,8.35,20260401,7.52,stop_loss,1,-9.94,0
rps90,20260331,5,603778,603778.SH,国晟科技,电气设备,25.0,20260401,27.5,limit_up,1,10.0,1
rps90,20260408,1,601869,601869.SH,长飞光纤,通信设备,362.1,20260409,398.31,limit_up,1,10.0,1
rps90,20260408,2,603778,603778.SH,国晟科技,电气设备,32.03,20260414,29.79,retracement,4,-6.99,0
rps90,20260408,3,300342,300342.SZ,天银机电,家用电器,58.99,20260409,53.33,stop_loss,1,-9.59,0
rps90,20260408,4,301396,301396.SZ,宏景科技,软件服务,191.25,20260416,289.42,limit_up,6,51.33,1
rps90,20260408,5,000890,000890.SZ,法尔胜,环境保护,15.87,20260410,14.21,stop_loss,2,-10.46,0
rps90,20260415,1,601869,601869.SH,长飞光纤,通信设备,358.61,20260423,385.02,retracement,6,7.36,1
rps90,20260415,2,603256,603256.SH,宏和科技,玻璃,102.07,20260429,120.62,limit_up,10,18.17,1
rps90,20260415,3,002361,002361.SZ,神剑股份,化工原料,18.54,20260420,20.63,limit_up,3,11.27,1
rps90,20260415,4,301396,301396.SZ,宏景科技,软件服务,241.18,20260416,289.42,limit_up,1,20.0,1
rps90,20260415,5,603538,603538.SH,美诺华,化学制药,55.5,20260417,52.5,retracement,2,-5.41,0
rps90,20260422,1,002361,002361.SZ,神剑股份,化工原料,23.65,20260424,21.46,stop_loss,2,-9.26,0
rps90,20260422,2,601869,601869.SH,长飞光纤,通信设备,412.0,20260423,385.02,retracement,1,-6.55,0
rps90,20260422,3,301396,301396.SZ,宏景科技,软件服务,324.28,20260427,313.22,retracement,3,-3.41,0
rps90,20260422,4,603629,603629.SH,利通电子,元器件,108.2,20260424,109.42,retracement,2,1.13,1
rps90,20260422,5,002384,002384.SZ,东山精密,元器件,186.34,20260507,211.07,limit_up,8,13.27,1
rps90,20260429,1,301396,301396.SZ,宏景科技,软件服务,327.45,20260511,325.86,retracement,5,-0.49,0
rps90,20260429,2,002384,002384.SZ,东山精密,元器件,184.25,20260507,211.07,limit_up,3,14.56,1
rps90,20260429,3,002297,002297.SZ,博云新材,航空,23.21,20260519,24.0,retracement,11,3.4,1
rps90,20260429,4,603538,603538.SH,美诺华,化学制药,65.3,20260506,68.5,limit_up,2,4.9,1
rps90,20260429,5,002008,002008.SZ,大族激光,专用机械,103.34,20260507,112.41,limit_up,3,8.78,1
rps90,20260511,1,603629,603629.SH,利通电子,元器件,162.82,20260513,172.71,limit_up,2,6.07,1
rps90,20260511,2,002008,002008.SZ,大族激光,专用机械,134.27,20260513,148.13,limit_up,2,10.32,1
rps90,20260511,3,002281,002281.SZ,光迅科技,通信设备,198.79,20260519,230.89,limit_up,6,16.15,1
rps90,20260511,4,300136,300136.SZ,信维通信,元器件,115.57,20260512,109.3,retracement,1,-5.43,0
rps90,20260511,5,002384,002384.SZ,东山精密,元器件,218.3,20260515,203.35,retracement,4,-6.85,0
rps90,20260518,1,603629,603629.SH,利通电子,元器件,174.58,20260519,174.3,expired,1,-0.16,0
rps90,20260518,2,002281,002281.SZ,光迅科技,通信设备,209.9,20260519,230.89,limit_up,1,10.0,1
rps90,20260518,3,600396,600396.SH,华电辽能,火力发电,15.69,20260519,16.15,expired,1,2.93,1
rps90,20260518,4,002008,002008.SZ,大族激光,专用机械,138.53,20260519,136.99,expired,1,-1.11,0
rps90,20260518,5,002491,002491.SZ,通鼎互联,通信设备,23.69,20260519,23.69,expired,1,0.0,0
short,20260323,1,300342,300342.SZ,天银机电,制造业-通用设备制造业,46.81,20260331,51.08,retracement,6,9.12,1
short,20260323,2,300432,300432.SZ,富临精工,制造业-汽车制造业,22.37,20260331,23.1,retracement,6,3.26,1
short,20260323,3,600666,600666.SH,奥瑞德,制造业-非金属矿物制品业,4.52,20260324,4.8,limit_up,1,6.19,1
short,20260323,4,300209,300209.SZ,行云科技,批发和零售业-零售业,10.59,20260331,10.0,retracement,6,-5.57,0
short,20260323,5,300051,300051.SZ,琏升科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,11.9,20260326,11.03,retracement,3,-7.31,0
short,20260324,1,300432,300432.SZ,富临精工,制造业-汽车制造业,22.79,20260331,23.1,retracement,5,1.36,1
short,20260324,2,600666,600666.SH,奥瑞德,制造业-非金属矿物制品业,5.28,20260325,5.28,limit_up,1,0.0,0
short,20260324,3,603538,603538.SH,美诺华,制造业-医药制造业,32.38,20260325,32.38,limit_up,1,0.0,0
short,20260324,4,601218,601218.SH,吉鑫科技,制造业-金属制品业,7.69,20260326,7.3,retracement,2,-5.07,0
short,20260324,5,002902,002902.SZ,铭普光磁,制造业-计算机、通信和其他电子设备制造业,25.95,20260325,25.95,limit_up,1,0.0,0
short,20260325,1,300432,300432.SZ,富临精工,制造业-汽车制造业,22.79,20260331,23.1,retracement,4,1.36,1
