rank,code,name,industry,score_100,score_raw,value_score,quality_score,growth_score,momentum_score,lowvol_score,pe,pb,fcf_yield,roe,gross_margin,cfo_to_np,debt_ratio,rev_yoy,profit_yoy,mom_raw,vol_raw,avg_amount_60_used,report_date,notice_date
11,002236,大华股份,制造业-计算机、通信和其他电子设备制造业,99.75062344139651,1.127689868667094,2.8926819324535287,0.7479986894542994,-0.1587333038345136,0.3770187267001096,1.285260289525772,13.99,1.41,0.0655413010359643,9.55,41.652702922321,0.426339575731,25.1594666725,2.0599499111,38.9176542566,-0.0216802168021679,0.0462,897774463.33,2025-09-30,2025-10-25
12,600382,广东明珠,采矿业-黑色金属矿采选业,99.72568578553616,1.1212747339098186,0.6255631403475584,0.760889014181235,2.15528467396832,2.0170164223051343,0.0992125901228365,16.4,1.8,0.003922902610237,8.39,63.266837519489,0.88095230894,16.1693654419,66.52949351765,425.6579236461501,-0.0072083879423329,0.0666,140693750.0,2025-09-30,2025-10-31
13,603325,博隆技术,制造业-通用设备制造业,99.70074812967582,1.1136936147914978,1.3836649157274783,0.7829798524099131,1.762594210942367,0.5616366092219444,1.5616697665091015,13.08,2.08,0.0321953190475912,12.56,39.756866021183,0.324313537593,52.2754544887,64.1683189042,90.0827618816,-0.0257987910189982,0.0428,67277715.0,2025-09-30,2025-10-28
14,002444,巨星科技,制造业-金属制品业,99.67581047381546,1.1075532237980037,1.1579013493137873,1.228636806220997,-0.2795753557774553,1.7837584347160909,1.346714610266576,11.96,1.82,0.0050603771488873,12.2,33.078874126774,0.729432648708,17.2769962683,0.6546615543,11.3524784418,0.0737684103605891,0.0455,622963967.21,2025-09-30,2025-10-31
15,601717,中创智领,制造业-专用设备制造业,99.65087281795512,1.1022971662372725,2.498558290689393,0.4157420066068915,0.1844885335188028,0.7638129563937993,1.7249912027627623,7.74,1.62,0.0672593650755509,16.01,23.161506268255,0.236917677451,50.2166801501,10.4488158391,19.1678259246,-0.0008149959250204,0.0379,551961323.0,2025-09-30,2025-10-28
16,300940,南极光,制造业-计算机、通信和其他电子设备制造业,99.62593516209476,1.0850144366190817,0.2478302284172205,0.5014416599298696,2.753835311759187,2.1496257452301486,0.2962393572590787,32.49,4.01,-0.0149783745524869,9.71,27.616452103981,1.246665981414,28.3422763043,66.52949351765,425.6579236461501,0.0866998474743344,0.0608999999999999,122362363.22,2025-09-30,2025-10-30
17,601058,赛轮轮胎,制造业-橡胶和塑料制品业,99.6009975062344,1.0620449746662102,1.2052042452244844,0.5807117728809813,0.3307508138581155,1.7938341163944205,1.7815093613819322,10.93,1.99,0.0101374192633617,13.93,24.733520864175,0.848256924299,50.2610692529,16.7551535796,-11.4658471155,0.0803240422902649,0.0399,794420320.0,2025-09-30,2025-10-29
18,603508,思维列控,制造业-铁路、船舶、航空航天和其他运输设备制造业,99.57605985037408,1.0532726705157929,1.4240353996651882,1.6084256676630255,-0.120843271046317,0.7982228149418489,0.7321804796916573,17.22,2.37,0.1067476458940499,8.51,67.22182440042,1.216898653082,7.2063281571,5.2480869752,20.9849087373,0.0010500525026251,0.0515,146969887.0,2025-09-30,2025-10-31
19,000921,海信家电,制造业-电气机械和器材制造业,99.55112219451372,1.0496076933680638,2.2133070977671263,0.4759063428205622,-0.1793970455473507,1.2333519508693425,1.3374818273834757,7.82,1.73,0.0279414205800049,17.09,21.080547894217,1.714119916746,71.3129010222,1.3511140727,0.6731685466,0.0459671488109829,0.0438999999999999,314334196.57,2025-09-30,2025-10-29
20,300967,晓鸣股份,农、林、牧、渔业-畜牧业,99.52618453865335,1.045680771530052,0.4151542737823841,1.321809064094687,2.331765126688245,0.7434823170686033,0.4688825143909248,13.37,3.98,-0.0109451254234825,17.107249999999958,28.258213920782,1.345545995739,43.6968952769,58.9840765143,425.6579236461501,0.0463088768115942,0.0569,103442753.7,2025-09-30,2025-10-24
