rank,code,name,industry,score_100,score_raw,leadership_score,trend_score,cluster_score,stability_score,liquidity_score,sector_rank_20,sector_rank_60,ret_20,ret_60,ma_bull_20_60,ma_alignment_20,trend_slope_60,trend_slope_20,trend_eff_20,trend_eff_60,amount_ratio_5_20,amount_ratio_20_60,money_flow_bias_20,money_flow_bias_60,pv_sync_20,vol_20,vol_60,max_drawdown_20,max_drawdown_60,chip_tightness,win_rate_20,win_rate_60,avg_amount_20,close,trade_date
566,603650,彤程新材,化工原料,21.63661581137309,-0.4130436214970533,-1.1623815237354087,-0.9801124357410118,0.06314723048278724,0.8245606846906267,-0.035570403507763415,82.54716981132076,71.42857142857143,0.1457267386772787,0.031916709336064164,0.030256396163675925,0.03553303103049714,-0.0002872799408482878,0.004779353023797146,0.39587985218460064,0.02771502880943966,1.3644116652054827,1.360365443412665,0.36005428361595004,0.12472136260118502,0.6354756341117568,0.020817014773537746,0.02456332721987129,-0.03934484600320454,-0.22493137413208464,-0.024387540313852783,0.6,0.5166666666666667,972081079.65,62.88,20260520
567,300981,中红医疗,医疗保健,21.497919556171983,-0.4131465134130875,-0.32708409993716064,-0.6099872971739696,-0.30918025032348134,-0.4261469827878829,-0.3392878424069819,85.84070796460178,86.72566371681415,0.07583643122676587,0.07904548844146153,0.04250416533730372,0.015043525571272998,0.0023021705240674987,0.003816668984757849,0.1699057378777327,0.04437824003502277,0.9639405458948168,0.8644713655970703,0.10732849484750023,0.015662233106056803,0.7736084564874356,0.02925171019143911,0.043382142651096224,-0.060389610389610326,-0.21705426356589141,-0.03524719240619428,0.45,0.45,170726737.35,14.47,20260520
568,600461,洪城环境,水务,21.35922330097087,-0.4134535415899905,-0.5486076604384158,-0.69464547494541,-0.8628284992259818,0.702486250421911,-1.326137353389901,80.0,93.33333333333333,0.07019328585961349,0.08453608247422695,0.02514800300175124,0.01121467961544087,0.0008550417029179671,0.002193517564835892,0.34546997362274195,0.13831553493408855,0.9104876053772811,1.0635605058074344,0.17235143140553913,0.08373527522264362,-0.1049960313415381,0.011526338961617415,0.013902637372504991,-0.04662226450999052,-0.06317867719644621,-0.01633671297266312,0.6,0.5333333333333333,101454405.15,10.52,20260520
569,002192,融捷股份,小金属,21.220527045769764,-0.41733867570896216,-0.7110793240725262,-0.31600976085017785,-0.2458858092403236,-0.3177049298228947,0.2434371407412973,78.18181818181819,94.54545454545455,0.06942637492607928,0.7131489200454717,0.2667582864685991,-0.0062138666438267265,0.012164121947301567,0.006267864427889114,0.08880946618765098,0.3328270417831466,0.7584479322050011,1.424310990230629,-0.11730421728619339,0.18216360716083693,0.5336757732157057,0.04881916279049284,0.04580608039528724,-0.20983989926245739,-0.20983989926245739,-0.0601395593238868,0.4,0.5833333333333334,3120580444.75,90.42,20260520
570,002642,荣联科技,软件服务,21.081830790568652,-0.4188675883582361,-0.9874465835196097,-0.5888033159523717,-0.35746522163878514,0.5696676054771799,-0.5519321247131307,84.07960199004975,78.60696517412936,0.14691358024691348,0.06659012629161865,0.019383080525297913,0.05775061417700278,0.0002170679996765103,0.008573473950920802,0.3398430286352421,0.05497326379003941,1.326332891763293,1.6397635005733344,-0.07515955397006144,-0.07023224881148887,0.6967872057441958,0.02955566636123987,0.026496070847737037,-0.04955947136563865,-0.16685714285714282,-0.03331043724708847,0.45,0.43333333333333335,271667472.35,8.93,20260520
571,002919,名臣健康,互联网,20.943134535367545,-0.42714173550189954,-0.7057890196007677,-0.7252015969441108,-0.36134938313197856,0.2811635769867653,-0.9798357873003345,94.9367088607595,72.15189873417721,0.30784708249496995,-0.029640705734489407,0.046979865771812124,0.08092105263157881,-0.0004939752780733429,0.013717872616764576,0.6308231248754098,-0.031053842544842437,1.5711350208019443,1.3041268290587416,0.6296592734264239,0.19122875317602225,0.32908481092984043,0.02969336935957841,0.03117558673541903,-0.08237048080506881,-0.3157327586206896,-0.030705107623149118,0.75,0.6,199405905.7,26.0,20260520
572,301286,侨源股份,化工原料,20.804438280166433,-0.4278812674000725,-0.5153878410800823,-0.1944109783562309,-0.29946974495382966,-0.7489736712426632,-0.5819689139730606,89.62264150943396,75.94339622641509,0.2394587173955678,0.170153675245325,0.07214161346488712,0.13020444251971344,0.0010668576872479728,0.017695133736468593,0.37004161466349855,0.10783958658850865,1.2303465216328309,1.5369060520078524,0.13368247402399822,0.07509739262757774,0.5410759056166583,0.046219212867326935,0.03882246654817645,-0.06596879320560933,-0.30046869768998996,-0.05601239140585708,0.45,0.43333333333333335,241667248.35,63.2,20260520
573,300928,华安鑫创,汽车配件,20.665742024965326,-0.43306973381230457,-0.7314043454525739,-0.4698267942120377,-0.749283807148893,0.45564610081850104,-0.6730753458923611,86.66666666666667,75.55555555555556,0.14257425742574248,0.023654642223536193,0.044223394686038864,0.0683149463503098,0.0007396554773014784,0.011597377909031276,0.4255427470160301,0.02178796098829448,0.7868743176007016,1.5070504712064166,0.07701589551259157,-0.015951314175551446,0.5195886722793058,0.022370138993996203,0.02527930258006543,-0.04099722991689758,-0.16710797293321578,-0.03155822995450386,0.55,0.4666666666666667,90872794.55,34.62,20260520
574,301031,中熔电气,电气设备,20.527045769764214,-0.4339691627288643,-1.177835312959413,-0.751147898238802,-0.11278149837396112,0.6768189015607516,-0.5681583986495745,83.03249097472924,74.0072202166065,0.16692752636951336,0.18638439186384392,0.07864171739970516,0.051835605513047514,0.0027616469573285194,0.007480381286191536,0.3215975764403948,0.13145832933812462,1.0376056698110685,1.5103986771966178,0.1654516310781023,0.15588856568711779,0.7561576974798162,0.03786785241627947,0.032563541056038724,-0.06537530266343827,-0.1308777429467084,-0.04597736686798463,0.55,0.5666666666666667,683095382.4,171.48,20260520
575,600088,中视传媒,影视音像,20.388349514563107,-0.434909384980279,-0.9494703263378901,-0.26643942999295367,-0.0935918005979719,-0.3003023971559028,-0.4624466840868284,85.29411764705883,71.42857142857143,0.09822646657571643,-0.029640705734489407,0.019942801415720135,0.08571244400038647,-0.00019153697105468023,0.01185821420150431,0.17064664525952997,-0.031053842544842437,2.255817572325176,1.7965383181769798,0.07289336354669015,-0.07023224881148887,0.635770264213281,0.03946750059593057,0.028466516745774027,-0.14638069705093826,-0.24944690265486713,-0.029126887557265755,0.5,0.45,214028364.05,16.1,20260520
