rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used
2606,605255,天普股份,制造业-橡胶和塑料制品业,7.656859269762497,-0.5654455488279537,-0.4233801601433283,-1.1204975540549071,-0.7161694655861913,-0.6466262338914931,0.10307777708406721,-0.7555929434431602,-0.0004349999999999996,-0.009524999999999999,-0.03225,-0.0909,-0.03225,-0.01407,0.4223,-0.03225,-0.0340875,-0.013635,1.066,1.0594,1.0528,1.38,1.38,0.0,0.0368,0.0368,0.0184,0.431825,-0.0368,0.0368,0.0368,0.081375,-0.8810985431951581,0.5264,0.0236,193556757.0,103.39,2026-05-06,True
2607,601058,赛轮轮胎,制造业-橡胶和塑料制品业,7.621410847217298,-0.5655423611501029,-0.8026253369646162,-0.9089480182095543,-0.8472808630874902,-0.7222073167283489,0.23685610238389,0.05664646008975255,-0.017779999999999997,-0.022899999999999997,-0.035699999999999996,-0.051199999999999996,-0.035699999999999996,-0.025459999999999997,0.4387,-0.035699999999999996,-0.0192,-0.007679999999999999,1.0505,1.04545,1.0404,2.15,2.15,0.0,0.0345,0.0345,0.01725,0.4616,-0.0345,0.0345,0.0345,0.0283,-0.8165869175088415,0.4798,0.0345,968595585.0,13.78,2026-05-06,True
2608,000506,招金黄金,采矿业-有色金属矿采选业,7.585962424672102,-0.566993111911238,-0.47795638407237684,-0.5696969451190368,-0.516487419711974,-1.078045628340742,-0.06107961621438931,-0.7128013900763052,0.07467532467532467,0.026674937965260437,-0.028185554903112142,-0.01429422275163783,-0.02958163534550995,-0.06646174999999999,0.3913358333333333,-0.02958163534550995,-0.0361034375,-0.006768658725003025,1.1500494796054879,1.0,1.0,2.854,3.8870000000000005,0.0,0.027455473638800118,0.03946679992495643,0.02441861742640331,0.45,-0.2178770949720671,0.043053372382320425,0.0482884727654019,0.06657964314691611,-0.023832614469433702,0.5707922622749384,0.2424352509525746,623313099.3249999,16.55,2026-05-06,False
2609,002705,新宝股份,制造业-电气机械和器材制造业,7.5505140021269055,-0.5688632828239711,-1.292065887397639,-0.5699911046323026,-0.9887944786361976,0.16772629806890998,-0.21781654744257958,-0.26025864174800534,-0.034934999999999994,-0.034425,-0.03315,0.0051,-0.03315,-0.03416999999999999,0.4694,-0.03315,0.0019125000000000001,0.0007650000000000001,1.1785,1.16065,1.1428,4.45,4.45,0.0,0.045599999999999995,0.045599999999999995,0.022799999999999997,0.503825,-0.045599999999999995,0.045599999999999995,0.045599999999999995,-0.039525,0.2512315229682837,0.4286,0.045599999999999995,525061980.01,14.59,2026-05-06,True
2610,603402,陕西旅游,文化、体育和娱乐业-文化艺术业,7.515065579581709,-0.5694339593300842,-0.6344419080595822,-1.1736329818141877,-0.8609021590365165,0.628928387189333,-1.2445198018641994,-0.13367842568384336,-0.02502,-0.033633333333333335,-0.05516666666666667,-0.08613333333333334,-0.05516666666666667,-0.03794,0.40176666666666666,-0.05516666666666667,-0.0323,-0.012920000000000001,1.0605,1.05445,1.0484,6.46,6.46,0.0,0.023,0.023,0.0115,0.4354,-0.023,0.023,0.023,0.052500000000000005,-0.918265810524997,0.4758,0.023,136782863.0,109.83,2026-05-06,True
2611,603668,天马科技,制造业-农副食品加工业,7.479617157036513,-0.5696509707811787,-0.5329875227259728,-1.0470268222703498,-0.7488840285346111,-0.6666838506160977,0.22584806228629192,-0.7917024356517126,-0.010530000000000001,-0.015550000000000001,-0.0281,-0.0502,-0.0281,-0.01806,0.4468,-0.0281,-0.018825,-0.00753,1.015,1.0135,1.012,1.61,1.61,0.0,0.024399999999999998,0.024399999999999998,0.012199999999999999,0.46235,-0.024399999999999998,0.024399999999999998,0.024399999999999998,0.03465,-0.8605714236538776,0.494,0.024399999999999998,109247758.0,13.48,2026-05-06,True
2612,605066,天正电气,制造业-电气机械和器材制造业,7.444168734491314,-0.569671160746905,-0.7245380098285646,-0.6298830943059415,-0.6847829453090629,-0.8041269418318165,0.12684161415394032,-0.6710446493900553,-0.007535,-0.008425,-0.01065,-0.0089,-0.01065,-0.00887,0.4849,-0.01065,-0.0033374999999999998,-0.0013349999999999998,1.031,1.0279,1.0248,2.98,2.98,0.0,0.036000000000000004,0.036000000000000004,0.018000000000000002,0.493325,-0.036000000000000004,0.036000000000000004,0.036000000000000004,0.00047499999999999973,-0.4258373137824989,0.4876,0.036000000000000004,119644066.0,8.01,2026-05-06,True
2613,301049,超越科技,水利、环境和公共设施管理业-生态保护和环境治理业,7.4087203119461185,-0.5697679135197765,-2.0969442285246807,-0.915527181477548,-1.6007490687648849,3.1114160302257194,-2.5424300532794666,1.5219424295040345,-0.035698749999999994,-0.04207375,-0.059429166666666665,0.0070999999999999995,-0.0560683099897672,-0.06646174999999999,0.4312,-0.0560683099897672,0.0026625,0.001065,1.3795,1.34155,1.3035999999999999,15.039499999999999,15.05475,0.0,0.0922,0.0922,0.0461,0.505325,-0.0922,0.0922,0.0922,-0.08122499999999999,0.1876651965844476,0.425725,0.0922,181051444.16,24.95,2026-05-06,True
2614,601900,南方传媒,文化、体育和娱乐业-新闻和出版业,7.373271889400922,-0.5700559513087049,-0.6502783682650345,-1.1285583457375454,-0.851155958803489,-0.88399475851331,0.7761255563766192,-0.7192605853202709,-0.006785000000000001,-0.012908333333333334,-0.028216666666666668,-0.061233333333333334,-0.028216666666666668,-0.01597,0.44116666666666665,-0.028216666666666668,-0.0229625,-0.009185,1.012,1.0108,1.0096,1.18,1.18525,0.0,0.0104,0.0104,0.0052,0.454075,-0.0104,0.0104,0.0104,0.048325,-0.9220282712568202,0.5048,0.008,128328908.0,12.53,2026-05-06,True
2615,300049,福瑞医科,制造业-专用设备制造业,7.337823466855725,-0.5702824240442836,-0.4275659827478743,-1.1027449248685106,-0.7111411384385415,-0.5129886615523138,-0.2745668450441673,-0.3819485109654388,-0.0009899999999999996,-0.009316666666666668,-0.030133333333333335,-0.08326666666666667,-0.030133333333333335,-0.013479999999999999,0.42823333333333335,-0.030133333333333335,-0.031225,-0.01249,1.0575,1.05175,1.046,3.31,3.31,0.0,0.0443,0.0443,0.02215,0.43755,-0.0443,0.0443,0.0443,0.07395,-0.8493709593697009,0.523,0.032799999999999996,398657333.7,50.94,2026-05-06,True
