rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
902,300759,康龙化成,科学研究和技术服务业-研究和试验发展,49.523809523809526,-0.16549677024461865,0.3031605534218277,-1.2388530345838662,0.4918714730926442,-0.5028135172394135,-0.07341772151898729,-0.06870229007633588,-0.12350325008552854,-0.06914217200159845,0.7325866631691567,1.126,1.4635000000000002,0.024288764504435522,0.45,-0.15828303152246814,577748933.2375,25.48,2026-03-23
903,002701,奥瑞金,制造业-金属制品业,49.46778711484594,-0.16576393653572502,0.016997606650357225,-0.4063085157805732,0.4006941706099565,-1.007497895818106,-0.08022388059701502,-0.08022388059701502,-0.13811188811188813,-0.08116671326064673,0.7965293431159072,0.9065,1.1375625,0.017283910420821877,0.3,-0.14756944444444442,145204956.1885,4.93,2026-03-23
904,300783,三只松鼠,批发和零售业-零售业,49.411764705882355,-0.16595504252674453,0.0781952630826511,-0.33666988501697115,-0.015394607786592851,-0.7332450329882909,-0.08860103626943006,-0.10574478901881046,-0.19385884509624196,-0.09873443664497616,0.7232890512934776,1.7920000000000003,2.322,0.016229736018024844,0.3,-0.20045558086560356,128548256.1,17.66,2026-03-23
905,002292,奥飞娱乐,制造业-文教、工美、体育和娱乐用品制造业,49.35574229691877,-0.16644856547840356,-0.5886518221463639,-0.593267073795677,0.815504224121917,0.3615205800311854,-0.10551558752997603,-0.1345707656612528,-0.1943844492440605,-0.11742088139603657,0.6624452543915257,2.4319999999999995,3.376499999999999,0.018414710903767045,0.45,-0.19956850053937425,295438856.0935,7.47,2026-03-23
906,603863,松炀资源,制造业-造纸和纸制品业,49.299719887955185,-0.16663850139387967,-0.21776851925694934,-0.6796881932111147,0.82721535711216,-0.5003474454050216,-0.08497053045186642,-0.09431210500729226,-0.06051437216338873,-0.06956999450631796,0.6747210284466659,2.8099999999999996,4.051499999999999,0.03203790410418209,0.5,-0.13033175355450233,167733244.45,19.04,2026-03-23
907,002075,沙钢股份,制造业-黑色金属冶炼和压延加工业,49.2436974789916,-0.16713151189680947,-0.18407818734416082,-0.4616200885498868,0.42943948652412606,-0.42655408084332447,-0.12287334593572785,-0.15328467153284686,-0.16396396396396395,-0.1392264168444487,0.5882198506770924,1.362,2.1019999999999994,0.020812837301296485,0.45,-0.21124361158432714,253135230.3575,4.64,2026-03-23
908,000066,中国长城,制造业-计算机、通信和其他电子设备制造业,49.18767507002801,-0.1673784544785264,-0.26305962888560575,-0.7278988399018234,0.3028243821984634,0.3950348707431936,-0.08623969562460365,-0.15285126396237514,-0.1224116930572473,-0.10237642881614617,0.574280913864743,2.1919999999999997,3.6294999999999993,0.030098129413672438,0.45,-0.16917728852838942,1917212038.5065007,14.42,2026-03-23
909,002300,太阳电缆,制造业-电气机械和器材制造业,49.13165266106442,-0.16772369506648782,-0.24144117819523694,-0.5812556274420619,-0.0430862856778903,0.5518929347180033,-0.05666003976143141,-0.19371282922684785,-0.005241090146750449,-0.06960784313725477,0.4736651692247555,5.15,10.007000000000001,0.030287275506564272,0.55,-0.2285471537807986,766147527.212,9.7,2026-03-23
910,300324,旋极信息,信息传输、软件和信息技术服务业-软件和信息技术服务业,49.07563025210084,-0.16791575785808088,-0.037544636188958896,-0.5101206863801404,0.21220680493153474,-0.45206061849179446,-0.08867924528301885,-0.11538461538461542,-0.15114235500878737,-0.10080982965652041,0.6739952614185947,2.272,3.2095,0.03086423123132927,0.45,-0.1743589743589743,297883578.48899996,4.87,2026-03-23
911,002153,石基信息,信息传输、软件和信息技术服务业-软件和信息技术服务业,49.01960784313725,-0.16829486997960313,-0.030144699292500837,-0.5686356299635736,0.4563804354820657,-0.7023611324541501,-0.08233117483811292,-0.12056737588652477,-0.15932203389830513,-0.09928723838924958,0.7216866601729612,1.12,1.4635000000000002,0.02409886225283599,0.45,-0.1778523489932885,261202703.4625,9.95,2026-03-23
912,600959,江苏有线,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,48.963585434173666,-0.16870264826051684,-0.21915396088758746,-0.37417911929714986,0.45757221032191064,-0.5267381743038435,-0.06345177664974622,-0.097799511002445,-0.12559241706161128,-0.07309721175584027,0.8240976595389506,1.1179999999999999,1.3114999999999999,0.01825532780428099,0.5,-0.13411764705882345,262562370.0,3.69,2026-03-23
913,603716,塞力医疗,批发和零售业-批发业,48.90756302521008,-0.16874559248599502,0.012116991829847941,-0.14053367291166946,-0.8611537692695577,0.2251452190926313,-0.06704645048203339,-0.10054921841994091,-0.03095129722348655,-0.04642465231899329,0.7290059450154097,5.918000000000001,7.6345,0.049020111208378556,0.45,-0.20370370370370372,368043638.1,20.47,2026-03-23
914,601113,华鼎股份,批发和零售业-零售业,48.851540616246496,-0.1687518720443291,0.0562059356247387,-0.6712487206391963,0.5194052472833199,-0.8486874372739301,-0.1094420600858369,-0.10173160173160167,-0.12262156448202965,-0.09900130264871898,0.6207594951470747,1.358,2.0605,0.02026018747158749,0.45,-0.16227180527383367,106466444.6,4.18,2026-03-23
915,603009,北特科技,制造业-汽车制造业,48.79551820728291,-0.16912889588740038,-0.07618407233233981,-0.9248787408854805,0.5011167894237172,-0.05105959745225179,-0.07972805933250926,-0.15637393767705388,-0.10138805069402534,-0.1256605989430415,0.49610340644964385,1.592,2.9165,0.01739698976285646,0.45,-0.1885558583106266,513079764.2,45.2,2026-03-23
916,600571,信雅达,信息传输、软件和信息技术服务业-软件和信息技术服务业,48.739495798319325,-0.16995635419969785,-0.1471671459857832,-0.4563239036640059,0.5868744024448936,-0.7625560025224123,-0.09359944941500342,-0.12491694352159477,-0.16434010152284262,-0.10350226336748236,0.7548562679962616,1.4580000000000002,1.815,0.0241375446018753,0.5,-0.18284283030682524,123005842.75,13.19,2026-03-23
917,300762,上海瀚讯,制造业-计算机、通信和其他电子设备制造业,48.68347338935574,-0.17203401515760267,-0.15796571200800058,-0.4968637802840079,-0.08787326091068609,0.21961911265824516,-0.058080808080808066,-0.15184436584133398,-0.15120101137800246,-0.12207751451435722,0.6038921755335649,3.418,5.1354999999999995,0.027084985785112623,0.4,-0.22649769585253454,1273391997.935,33.66,2026-03-23
918,301580,爱迪特,制造业-专用设备制造业,48.627450980392155,-0.1737737166330265,-0.2453708706959027,-0.2733092284694998,-0.556647656264238,0.6935431334370475,-0.0638035126234906,-0.2069045681738928,-0.018555811277330192,-0.14773224077844516,0.5338211840184738,5.808,9.674000000000001,0.04436529460608984,0.55,-0.2668122270742358,568045936.2689999,67.7,2026-03-23
919,002593,日上集团,制造业-汽车制造业,48.57142857142857,-0.17420300134817016,-0.2506450266406103,-0.2137700840581511,0.14521184541441015,-0.33029892506846853,-0.09642857142857142,-0.1423728813559323,-0.16501650165016502,-0.11087682305394497,0.7216991470496413,2.4859999999999998,3.2045000000000003,0.019396204576396507,0.35,-0.18608414239482196,104887649.39375,5.09,2026-03-23
920,603053,成都燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业,48.515406162464984,-0.17468470274147502,0.07907758266015456,-0.36519727871356156,0.16202459326641466,-0.9828088985361958,-0.02678571428571419,-0.04011741682974557,-0.02193419740777658,-0.0412900073295871,0.7513914602588022,0.9399999999999998,1.2079999999999997,0.017942020485022914,0.25,-0.1341571050308914,112035395.2,9.94,2026-03-23
921,600863,华能蒙电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,48.4593837535014,-0.1751534704349062,-0.12993613187063444,-0.8455191312219965,0.9638002394722245,-0.6970618851706546,0.0,-0.042910447761194126,0.06875000000000009,-0.016299137104506256,0.747130114731844,0.9100000000000001,1.206,0.017284933629414828,0.65,-0.08014571948998184,410875253.65,5.19,2026-03-23
922,300444,双杰电气,制造业-电气机械和器材制造业,48.403361344537814,-0.1753726918782898,-0.8788402645812666,-0.11916985400802615,-0.3444448838755796,1.8322990282089289,-0.11746231155778886,-0.20261066969353003,-0.10223642172523961,-0.1315903331479078,0.47732749825365794,8.79,14.9138125,0.0233158149566117,0.35,-0.23182819383259912,1712602881.65,14.44,2026-03-23
923,002178,延华智能,信息传输、软件和信息技术服务业-软件和信息技术服务业,48.34733893557423,-0.17626062608678295,-0.03858101535658639,-0.7511100100647092,0.3095139324673857,-0.2330233594763214,-0.08936825885978428,-0.13596491228070173,-0.11127819548872186,-0.09681363184839908,0.5163217406838086,2.846,5.220000000000001,0.03153123016545432,0.45,-0.15728715728715725,249046465.26349998,5.95,2026-03-23
924,301197,工大科雅,信息传输、软件和信息技术服务业-软件和信息技术服务业,48.29131652661064,-0.1765151669949594,0.02828291206293039,-0.5750567101011499,0.07149753170073558,-0.3890910708999413,-0.07860652076820018,-0.14822460776218005,-0.07364167040862146,-0.10895151711478246,0.5932050505094209,3.002,4.757499999999999,0.04184448305583219,0.6,-0.2030254777070064,121156744.6,20.8,2026-03-23
925,002144,宏达高科,制造业-纺织业,48.23529411764706,-0.1768383978959524,-0.11794035089678892,-0.23140571187349412,-0.11505929820170324,-0.32532646619015115,-0.11300919842312751,-0.17582417582417575,-0.15094339622641506,-0.14291156117071924,0.6279376320097294,3.598,5.259500000000001,0.028975811181697658,0.3,-0.20774647887323938,116266564.828,13.61,2026-03-23
