ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
603489.SH,20250926,6.8474,1.09,137.6612,2.4082,624787.6781,624787.6781
301303.SZ,20250926,1.8014,0.82,18.7717,1.947,635275.2,158095.9025
002158.SZ,20250926,15.987,0.97,19.5199,3.0445,1306331.0716,1303553.405
688356.SH,20250926,3.8559,1.07,236.0177,4.4174,565203.8733,565203.8733
601598.SH,20250926,6.2518,1.19,13.0247,1.3048,5105082.9083,3689653.6463
300275.SZ,20250926,2.3459,0.77,73.8612,4.1372,384892.2527,339176.1903
920608.BJ,20250926,6.5672,0.95,44.8979,3.3822,157467.2,103475.8564
301630.SZ,20250926,15.675,0.78,62.2349,5.1216,836640.0,209160.0
301500.SZ,20250926,10.8953,1.67,44.8695,1.9729,915342.2107,228239.9094
300598.SZ,20250926,5.3672,0.93,,7.28,1087295.5042,1086991.0057
600577.SH,20250926,10.6375,1.0,37.11,3.6402,2149177.564,2149177.564
688798.SH,20250926,3.5814,0.68,65.4026,5.1794,2092329.5081,1218295.579
920260.BJ,20250926,2.0848,0.62,34.097,3.1542,133372.4,127461.3932
601003.SH,20250926,5.285,0.91,,1.5032,1314712.9116,1314712.9116
601001.SH,20250926,2.7592,0.49,10.5738,1.2972,2376654.0,2376654.0
300832.SZ,20250926,0.8496,0.78,31.644,6.4589,5368030.7391,4659405.984
600400.SH,20250926,21.293,0.58,,3.0525,744695.8519,744695.8519
688213.SH,20250926,3.8602,1.11,69.4397,9.6238,4442760.42,3571577.4823
301393.SZ,20250926,3.8963,0.84,39.0551,2.4275,562896.0,219450.0873
600111.SH,20250926,5.8724,0.88,88.7226,7.2084,16770290.441,16770290.441
688410.SH,20250926,2.6592,1.06,58.6775,2.7369,470406.1057,343386.4294
300621.SZ,20250926,3.3885,0.86,212.2228,2.1371,186626.8599,181668.5247
300919.SZ,20250926,6.5537,1.18,33.3744,2.1915,4457511.2324,4336568.4891
301125.SZ,20250926,11.1801,0.92,133.8443,4.617,278129.039,230252.315
