rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
11,600208,衢州发展,全国地产,79.59183673469387,1.6821836411474822,2.0845220644597697,2.6253944402130944,2.311688462276166,1.388220124746633,-0.9849027461593693,1.6571803252127808,0.033138401559454245,0.13978494623655902,0.12050739957716683,0.6408668730650153,0.24838063832293034,-0.02930402930402931,0.9298245614035087,0.21634672005653077,0.1776233659168535,0.02702374827659182,1.2135714381670701,1.3408704368797049,1.6746013595084754,,8.0727,,0.05475220500942803,0.04923289302127331,0.035587571442169806,0.75,-0.13107822410147996,0.05288863580153289,0.06801996618233469,-0.2998435367355774,0.7551856899367113,0.5319435466494283,0.3847231200172376,1279234055.1,5.3,2026-05-13,False,True,True,True
12,002638,勤上股份,家用电器,77.55102040816327,1.6746115729894133,2.6123163402721206,3.420639983148533,2.9518122702802136,0.5057876746238521,-1.717501826963713,0.20141089825056377,0.0020746887966804906,0.02330508474576276,0.078125,0.1311475409836067,0.04522830556156676,-0.06576402321083175,0.6822429906542058,0.029214455745509627,0.022029863665873117,0.0017149560766230563,1.2356014362170304,1.129436972307269,1.2376014780199147,,7.6407,,0.025848082603471455,0.027631073851030828,0.012736051688705098,0.55,-0.0864978902953587,0.028293886059375155,0.05235312419202664,-0.08208133211606405,0.2942151241808926,0.47664123120512575,0.32418281472530264,276019230.8,4.83,2026-05-13,False,True,True,True
13,300179,四方达,矿物制品,75.51020408163265,1.664479201009085,2.1411254108792175,1.8587540637301285,2.0225294450766,2.2392110991428673,-2.368379629612257,2.167634935588804,-0.0033967391304348116,0.045244032775204834,0.04116394606103624,0.20443349753694573,0.07101790505393413,-0.07735849056603772,0.7191780821917808,0.048896676340141276,0.049320119001989404,0.009962210459621089,1.1165403954220683,1.1015314746615537,1.0532348156395823,,17.8124,,0.03789138289445428,0.03398326774884545,0.013513465007820228,0.55,-0.07488986784140972,0.028825925106064985,0.07359909930676616,-0.10705481779950787,0.34030806723604273,0.5709377582024234,0.19702432710563356,1385922989.75,29.34,2026-05-13,False,True,True,True
14,000593,德龙汇能,供气供热,73.46938775510205,1.636878045807024,2.1074508810242554,2.8877418735891074,2.435173097901493,1.5864030592854679,-2.622977231451446,1.891935457457161,,,,,,,,,,,,,,,14.5781,,,,,,,,,,,,,789811251.0,23.66,2026-05-13,False,True,True,True
15,300769,德方纳米,化工原料,71.42857142857143,1.5881527445038197,1.370012968880012,2.86238443419588,1.9968089843126766,2.1089096496277984,-1.5390740187658518,2.4214530897478315,,,,,,,,,,,,,,,16.0247,,,,,,,,,,,,,2807174728.0,78.6,2026-05-13,False,True,True,True
16,300938,信测标准,电器仪表,69.38775510204081,1.5728985599852676,1.638726305143706,2.8362398676767677,2.1416820014075917,2.0438843780589075,-2.2529229821412535,1.8145063853846768,,,,,,,,,,,,,,,13.1266,,,,,,,,,,,,,1181427423.0,62.91,2026-05-13,False,True,True,True
17,600769,祥龙电业,水务,67.3469387755102,1.516030892626998,1.9287154513968685,1.9531067087488563,1.9389597794847033,1.8224848962471834,-1.9639183497794108,1.8901109224022739,,,,,,,,,,,,,,,13.2368,,,,,,,,,,,,,838908660.0,22.0,2026-05-13,False,True,True,True
18,600602,云赛智联,软件服务,65.3061224489796,1.4961274215046574,2.0870271787668075,1.386079146084332,1.7926290050401676,2.0252702039287107,-2.3305494919071905,1.9511976729207834,0.03742384682332456,0.04837291116974507,0.07290729072907287,-0.009966777408637828,0.029850101516264216,-0.07596899224806208,0.6445012787723784,0.0004751825132836007,-0.008613763013520926,-0.0036754376762243805,1.3762160349760402,1.0371939395313907,0.938516154142068,,15.3292,,0.02923424724449111,0.02633386934418815,0.010514574748314628,0.5,-0.12342671538773853,0.02443860222631569,0.04013901730015929,0.10402075170130654,-0.022100835095500117,0.5671677251188336,0.22868155802091517,1578769037.55,23.84,2026-05-13,False,True,True,True
19,300398,飞凯材料,化工原料,63.26530612244898,1.489252475112845,2.627913918515229,2.1918016612023465,2.4447467704438184,2.18157116654499,-3.3694262465029006,2.5728312499919808,0.185426708250638,0.3243585682610073,0.36589349885658295,0.5577496274217586,0.3038122709908788,0.057142857142857384,0.9738853503184716,0.18406486317923165,0.14089342792547002,0.01796140776827075,1.7793274160796708,1.7240397434357708,1.6855046956508135,,17.8133,,0.04806338503961145,0.040624132541695473,0.010294604038469409,0.7,-0.041601008509297155,0.026856194778689745,0.045924816080547305,0.14812906006428594,0.8070964882901256,0.6126738329883895,0.3873261670116106,1808164120.85,41.81,2026-05-13,False,True,True,True
20,301235,华康洁净,医疗保健,61.224489795918366,1.480268402570259,2.5982167812646795,2.379684390358779,2.506433177084201,1.5915306913290994,-2.7571761814741627,0.9070736067157666,0.14448024419196193,0.18424284962274062,0.3102310231023102,0.36896551724137927,0.23691879112218883,-0.007500000000000062,0.9656044511886693,0.14370544141634434,0.1028645785605629,0.012301431510708657,1.6239163274352544,1.5120178312631558,1.2445589358339284,,16.7711,,0.0453766964233111,0.048738456030049865,0.02927742785576031,0.7,-0.1648239496513012,0.051937189692779544,0.06444419073532158,0.028259076803268002,0.5241429288510824,0.6652016237909204,0.33479837620907965,362186732.2,67.49,2026-05-13,False,True,True,True
