rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
2220,300070,碧水源,水利、环境和公共设施管理业-生态保护和环境治理业,12.049147839873168,-0.3176738225427732,-0.8072438719897163,0.09457318976101886,0.22187328328406847,-0.41862818562636767,-0.04621666666666666,-0.05083333333333333,-0.018466666666666666,-0.05083333333333333,1.1663999999999999,2.29,2.29,0.0391,0.48615,-0.0391,0.0391,-0.027749999999999997,309144277.58,3.92,2026-04-28
2221,301033,迈普医学,制造业-专用设备制造业,12.009512485136742,-0.317959617781987,-0.3580625567448673,-0.2593943679329903,-0.2743913723608077,-0.3667181908575396,-0.044675,-0.06625,-0.0863,-0.06625,1.0924,4.7,4.7,0.0521,0.43527499999999997,-0.0521,0.0521,0.041625,142931397.53,54.92,2026-04-28
2222,002383,合众思壮,制造业-计算机、通信和其他电子设备制造业,11.969877130400317,-0.3179596815354475,-0.5204414526231707,-0.1836972625057756,0.3340593878330376,-0.8711377495089523,-0.059275,-0.08045,-0.0847,-0.08045,1.1524,2.23,2.23,0.0359,0.436475,-0.0359,0.0359,0.025424999999999996,151390948.78,9.1,2026-04-28
2223,300455,航天智装,制造业-计算机、通信和其他电子设备制造业,11.930241775663893,-0.3192575608609034,-0.36227846095292826,-0.528609827832067,0.5212848444297912,-0.9763379227178242,-0.04699166666666667,-0.06398333333333334,-0.06796666666666666,-0.06398333333333334,1.12,1.2,1.2,0.0323,0.449025,-0.0323,0.0323,0.020974999999999994,213831427.37,24.91,2026-04-28
2224,300421,力星股份,制造业-通用设备制造业,11.890606420927467,-0.3193039302330661,-0.6090149956442661,-0.004124171230538459,-0.06800288447820997,-0.4071087484805536,-0.069325,-0.09795000000000001,-0.10808999999999999,-0.09795000000000001,1.1628,3.92,3.92,0.0441,0.4189325,-0.0441,0.0441,0.04517500000000001,208300557.35,22.86,2026-04-28
2225,300539,横河精密,制造业-橡胶和塑料制品业,11.850971066191041,-0.3195515976759144,-0.7885024943152288,0.4012089512483885,-0.2964672597575261,-0.30106257206943193,-0.07533333333333334,-0.09866666666666668,-0.09333333333333334,-0.09866666666666668,1.208,4.0,4.0,0.0533,0.43,-0.0533,0.0533,0.018000000000000002,248637474.06,28.26,2026-04-28
2226,301181,标榜股份,制造业-汽车制造业,11.811335711454618,-0.31955626163507567,0.47920088936612804,-0.5683739286287468,-1.7701073019977929,-0.1008111654985436,0.0048916666666666666,0.006083333333333333,0.0047666666666666664,0.006083333333333333,1.0148,4.85,4.85,0.08869999999999999,0.503575,-0.08869999999999999,0.08869999999999999,0.0001250000000000001,193611825.83,46.05,2026-04-28
2227,301256,华融化学,制造业-化学原料和化学制品制造业,11.771700356718192,-0.31963799365851425,-0.38296397865871334,-0.6301194848702478,0.5438713359249305,-0.7846453210830202,-0.03324166666666667,-0.049383333333333335,-0.06456666666666667,-0.049383333333333335,1.0684,1.68,1.68,0.028399999999999998,0.451575,-0.028399999999999998,0.028399999999999998,0.031325000000000006,111655664.0,13.82,2026-04-28
2228,300130,新国都,制造业-专用设备制造业,11.732065001981768,-0.3201832589383161,-0.5720540829867573,-0.11537160703096905,0.1465357068357231,-0.6121724356867699,-0.057675000000000004,-0.07625,-0.07429999999999999,-0.07625,1.1564,2.47,2.47,0.041299999999999996,0.444275,-0.041299999999999996,0.041299999999999996,0.016624999999999987,240073595.79,22.1,2026-04-28
2229,300276,三丰智能,制造业-专用设备制造业,11.692429647245344,-0.32036540474553443,-0.973911895615262,0.6409080674986045,-0.1268533647326551,-0.4377132695169984,-0.08783333333333333,-0.11304874999999999,-0.10173333333333333,-0.11304874999999999,1.2496,3.61,3.61,0.0472,0.4237,-0.0472,0.0472,0.013899999999999996,261362805.33,6.76,2026-04-28
