rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
43,301308,江波龙,半导体,86.0,102.1322925649421,97.41468459152017,96.29782833505688,98.15925542916236,39.15,139.43,703.8,11597930483.0,20260630
44,300567,精测电子,电器仪表,85.66666666666667,102.11550948750632,98.51085832471561,99.06928645294725,98.13857290589452,72.39,138.12,317.6,3534856111.5,20260630
45,300975,商络电子,元器件,85.33333333333334,102.06020950502806,97.79110651499484,95.34643226473631,99.42088934850052,34.38,239.12,51.75,6319749608.36,20260630
46,600353,旭光电子,元器件,85.0,101.99831653880378,98.7425025853154,99.83453981385729,98.01447776628748,103.66,135.66,45.6,3070193132.0,20260630
47,002281,光迅科技,通信设备,84.66666666666667,101.99217362325513,97.14167528438469,93.31954498448812,99.68976215098242,25.77,266.8,256.94,14202331849.199999,20260630
48,603938,三孚股份,化工原料,84.33333333333334,101.96036994918695,98.88728024819028,99.04860392967943,98.77973112719752,71.37,177.07,71.65,2597552360.0,20260630
49,600584,长电科技,半导体,84.0,101.95540202084057,96.9886246122027,95.94622543950362,97.68355739400207,36.88,121.45,103.55,23180238107.0,20260630
50,000811,冰轮环境,工程机械,83.66666666666667,101.929521381675,99.33815925542916,99.40020682523267,99.29679420889347,80.37,219.43,56.22,2072935708.21,20260630
51,000962,东方钽业,小金属,83.33333333333334,101.89705806566873,98.09307135470527,98.86246122026887,97.58014477766287,63.8,117.42,90.6,4112362938.92,20260630
52,000657,中钨高新,小金属,83.0,101.81260671941511,97.39400206825232,97.89038262668045,97.06308169596691,51.5,102.41,95.72,7376337618.27,20260630
53,300776,帝尔激光,专用机械,82.66666666666667,101.64066005421431,97.82006204756979,97.55946225439503,97.99379524301965,47.23,134.03,214.96,4133919111.96,20260630
54,601133,柏诚股份,建筑工程,82.33333333333334,101.59176409555188,98.63495346432265,99.13133402275078,98.30403309203723,73.66,144.67,44.04,2475176947.0,20260630
55,600460,士兰微,半导体,82.0,101.49953790707983,96.74870734229577,98.88314374353672,95.32574974146846,66.65,72.81,54.66,11789477941.0,20260630
56,600183,生益科技,元器件,81.66666666666667,101.48706311605233,96.75284384694933,93.83660806618408,98.69700103412616,27.85,167.22,173.4,11720608035.0,20260630
